,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l2,liblinear,100.0,0.535514168878084,0.09306064295339334,0.0037898030774346715
1,l2,liblinear,100.0,0.5344960001478369,0.10384387107914562,0.0039015391777301655
2,l1,liblinear,10.0,0.5328605335170348,0.12110578350787561,0.03353001331460887
3,l2,liblinear,100.0,0.5314287523547021,0.11291553350256547,0.003802159736896383
4,l1,liblinear,100.0,0.5306746170416693,0.12753365942324746,0.05009655294747188
5,l1,liblinear,10.0,0.5295991844751821,0.11314687143829841,0.03000501928658321
6,l1,liblinear,1.0,0.5123333086115333,0.11385875011936838,0.01609595068569841
7,l2,liblinear,1.0,0.4856089964858228,0.09852664170167874,0.0021685896248653017
8,l1,liblinear,0.1,0.409516619599996,0.1225663078376858,0.003589301273740571
9,l2,liblinear,0.1,0.23509651870119577,0.1353408192203069,0.0016232112358356345
10,l1,liblinear,0.01,0.0,0.0,0.0010311028053020608
11,l1,liblinear,0.01,0.0,0.0,0.001072579416735419
12,l1,liblinear,0.01,0.0,0.0,0.0010562189694108635
13,l1,liblinear,0.01,0.0,0.0,0.0010643909717428274
14,l2,liblinear,0.01,0.0,0.0,0.0016068343458504513
