,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l2,liblinear,100.0,0.5374236418018491,0.09904895167366669,0.003952626524300411
1,l1,liblinear,100.0,0.5351811508699498,0.1006851292915761,0.05781100536214894
2,l2,liblinear,100.0,0.5332510748501372,0.137164194387407,0.003913402557373047
3,l1,liblinear,100.0,0.5309617824398146,0.11040697459456555,0.05700198535261483
4,l2,liblinear,100.0,0.5303221444515355,0.10541410344608491,0.004543172902074353
5,l2,liblinear,10.0,0.529881354957904,0.08846575729682508,0.0031122750249402277
6,l1,liblinear,10.0,0.5245366180991021,0.13115922582592665,0.03865058668728533
7,l1,liblinear,1.0,0.5202456519136366,0.08016232891408007,0.01611328125
8,l2,liblinear,1.0,0.4886198471071873,0.12978768608372385,0.0022006281490983635
9,l1,liblinear,0.1,0.4097269516395584,0.13965778628301276,0.003567909372263941
10,l2,liblinear,0.01,0.0,0.0,0.00145796249652731
11,l2,liblinear,0.01,0.0,0.0,0.0015119355300377156
12,l1,liblinear,0.01,0.0,0.0,0.000990152359008789
13,l1,liblinear,0.01,0.0,0.0,0.0010047452203158674
14,l1,liblinear,0.01,0.0,0.0,0.0010216153901198815
