,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l2,liblinear,100.0,0.7159714747835284,0.03799877412634776,0.005545098206092571
1,l1,liblinear,100.0,0.7155151553139456,0.041057854580101534,0.11064028739929199
2,l1,liblinear,10.0,0.7145814391633122,0.056232846789196114,0.08903892286892595
3,l1,liblinear,1.0,0.7116778650499087,0.04792931215535825,0.03025646867423222
4,l1,liblinear,0.1,0.6982873143218886,0.03813914177774973,0.009132623672485352
5,l1,liblinear,0.1,0.6980671957771968,0.05013836080067471,0.00873351919239965
6,l2,liblinear,0.1,0.6975547620121229,0.04944950743370901,0.002721704285720299
7,l1,liblinear,0.1,0.6970975064716525,0.04414238615741021,0.00917491419561978
8,l2,liblinear,0.1,0.6959167594356233,0.05307050782131725,0.002686516991977034
9,l2,liblinear,0.01,0.6932114365009042,0.045709331950906554,0.0021427088770373114
10,l2,liblinear,0.01,0.6929042818349712,0.045284248691869824,0.0021228379216687433
11,l2,liblinear,0.01,0.6928571600448958,0.0466865281080892,0.002130385102896855
12,l2,liblinear,0.01,0.6921000155554896,0.0438877266260422,0.002119557610873518
13,l1,liblinear,0.01,0.6669470142524616,0.0010300629700165406,0.0011981602372794315
14,l1,liblinear,0.01,0.6669470142524614,0.0010300629700165404,0.0011873245239257812
