,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l2,liblinear,10.0,0.73365958932591,0.06284780167061452,0.002025596026716561
1,l2,liblinear,10.0,0.732974128647388,0.05583898951864781,0.002708361066620925
2,l1,liblinear,100.0,0.7328769769792243,0.060000810459547305,0.021174957012308055
3,l1,liblinear,1.0,0.7326989187328159,0.05961500936859914,0.016049064438918542
4,l2,liblinear,1.0,0.7324415656977014,0.057529979323333424,0.0021279926957755253
5,l1,liblinear,10.0,0.7321242487706986,0.046787037168598826,0.036787666123488855
6,l1,liblinear,0.1,0.7312355238633409,0.0578782904723289,0.003420558469048862
7,l1,liblinear,100.0,0.731115616533305,0.05841727499708697,0.02096401411911537
8,l2,liblinear,10.0,0.730492987315015,0.06808001799214511,0.0027018579943426722
9,l1,liblinear,0.1,0.7302185341414993,0.056134704949323315,0.0025935830741093077
10,l2,liblinear,1.0,0.7289851574926259,0.06007257164307119,0.002160466950515221
11,l2,liblinear,1.0,0.7284904198070209,0.06449066845629745,0.002766888717125202
12,l2,liblinear,1.0,0.7270449720518977,0.05994155977246675,0.001970488449622845
13,l2,liblinear,0.01,0.7081204725265069,0.06277222002403614,0.0013481912941768251
14,l1,liblinear,0.01,0.0,0.0,0.0006613813597580482
