,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l1,liblinear,10.0,0.7181871567453157,0.05561709049833787,0.07254911291188207
1,l1,liblinear,100.0,0.7176876172509253,0.04584369945596818,0.09474053054020323
2,l1,liblinear,10.0,0.7172404963309243,0.05244406657082415,0.07787295867656839
3,l1,liblinear,1.0,0.7171392977036213,0.044674618878758544,0.030465216472231108
4,l1,liblinear,1.0,0.7169012810638833,0.04161967333995491,0.03211257375519851
5,l1,liblinear,1.0,0.7166132222809414,0.046788191328192015,0.02999050863857927
6,l1,liblinear,1.0,0.716387654696669,0.05058761685535825,0.029514370293452823
7,l2,liblinear,100.0,0.7161977498365684,0.043377178639838775,0.005402918519644901
8,l1,liblinear,10.0,0.7160906554137721,0.04003617536938835,0.07359926453952131
9,l2,liblinear,10.0,0.7155768091253334,0.049811192617026455,0.004499057243610251
10,l2,liblinear,1.0,0.7145701533749421,0.04128048714336095,0.00399327278137207
11,l1,liblinear,10.0,0.7135601305642606,0.059155819405128124,0.07645656322610789
12,l2,liblinear,0.1,0.6979499108964758,0.043542707085598896,0.002697854206479829
13,l2,liblinear,0.1,0.6969380047939783,0.04913134739504241,0.0027189254760742188
14,l2,liblinear,0.1,0.6967683276204913,0.04887778159873865,0.002687100706429317
