,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l1,liblinear,10.0,0.7314413926270245,0.03133266299704633,0.017942190170288086
1,l1,liblinear,100.0,0.731022936748943,0.045323169509756206,0.02248493262699672
2,l1,liblinear,100.0,0.7293223632570995,0.04751180165845871,0.02259164197104318
3,l2,liblinear,1.0,0.724855640879647,0.045128696503934015,0.0019063608986990793
4,l2,liblinear,1.0,0.7226505826705539,0.04141859493518652,0.0015946456364222936
5,l2,liblinear,0.1,0.7101244245130739,0.051066948774509575,0.0012797628130231584
6,l2,liblinear,0.1,0.7069322064344121,0.03245469692033064,0.0012605360576084682
7,l1,liblinear,0.01,0.0,0.0,0.0006546292986188616
8,l1,liblinear,0.01,0.0,0.0,0.0006200415747506278
9,l1,liblinear,0.01,0.0,0.0,0.0007441554750714983
