,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l1,liblinear,100.0,0.721492670836237,0.043108311267238575,0.10557573417137409
1,l2,liblinear,10.0,0.7208115895035605,0.04499245868066321,0.004368560067538558
2,l1,liblinear,100.0,0.7200596803726429,0.038292291956738625,0.10061193334645238
3,l1,liblinear,100.0,0.7192009800507251,0.04265046858210206,0.09930620522334657
4,l1,liblinear,100.0,0.7189652450248766,0.046709664117019954,0.10208582878112793
5,l1,liblinear,1.0,0.7186991474960701,0.045995644957986845,0.03187065288938325
6,l1,liblinear,10.0,0.7183439535050918,0.044432600426260516,0.08211833855201459
7,l2,liblinear,100.0,0.7183067265119052,0.03864465498687158,0.005361170604311186
8,l2,liblinear,10.0,0.7182696091751379,0.05438306304848579,0.00450523146267595
9,l1,liblinear,1.0,0.7177994690207276,0.0393050530232166,0.0315006683612692
10,l2,liblinear,1.0,0.7176943330316149,0.04292290341283841,0.005162806346498686
11,l2,liblinear,100.0,0.7175229270035404,0.05136447095115343,0.005271640317193393
12,l2,liblinear,0.1,0.7019897744740301,0.04660103258363037,0.002640428214237608
13,l2,liblinear,0.01,0.6948998627973382,0.043103222674378036,0.0021403246912462958
14,l1,liblinear,0.01,0.6669470142524616,0.0010300629700165406,0.0011575057588774583
