,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l1,liblinear,100.0,0.718555830262038,0.043686458923674454,0.10565793925318225
1,l1,liblinear,100.0,0.7176017722819488,0.04205645391038367,0.1028444766998291
2,l1,liblinear,10.0,0.7171011952813285,0.04583850140117323,0.08992741847860403
3,l1,liblinear,100.0,0.7158144665886664,0.04419343665271405,0.10670416930626178
4,l2,liblinear,100.0,0.715578469381736,0.0505755435684002,0.005498483263213059
5,l2,liblinear,10.0,0.7148134216993808,0.051610821474835596,0.004408449962221343
6,l1,liblinear,10.0,0.7146365511637817,0.04683191474940856,0.09197360893775677
7,l2,liblinear,100.0,0.7134706167148094,0.0481588972131801,0.005448933305411503
8,l1,liblinear,1.0,0.7133601842423413,0.03248993440086377,0.03135820092826054
9,l2,liblinear,1.0,0.7133496216241259,0.04673262175213264,0.0037275922709497913
10,l2,liblinear,10.0,0.7125706420615311,0.036070881798573116,0.004347817651156722
11,l1,liblinear,0.1,0.7015548183225018,0.035876246451540944,0.009250920394371295
12,l1,liblinear,0.1,0.7011764111422749,0.047427061894462545,0.009070092234118232
13,l2,liblinear,0.01,0.695778480109972,0.04015788182284701,0.0021287901648159684
14,l1,liblinear,0.01,0.6669496261869128,0.0010397074030726232,0.0011793744975122913
