,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l2,liblinear,100.0,0.5372456470358555,0.12413152240660019,0.003800564798815497
1,l2,liblinear,100.0,0.5360875871744997,0.07906877181709668,0.003944536735271585
2,l2,liblinear,100.0,0.534071615557583,0.10320183377907974,0.0039842539820177806
3,l1,liblinear,10.0,0.5335396543751226,0.10063918827565332,0.03753510836897225
4,l1,liblinear,100.0,0.5309183569883047,0.12047018063339264,0.05079394373400458
5,l1,liblinear,100.0,0.5235198167721826,0.12108891099978636,0.05472218579259412
6,l1,liblinear,1.0,0.515460070836101,0.12597747380455376,0.016005647593531114
7,l1,liblinear,1.0,0.5147645961740375,0.11637790016178245,0.016046162309317755
8,l2,liblinear,1.0,0.4800976925427519,0.1313584714079442,0.00224917510460163
9,l1,liblinear,0.1,0.4062603916182863,0.09159549077118823,0.003556267968539534
10,l1,liblinear,0.1,0.4044564410957015,0.12002051400084117,0.0035137472481563173
11,l1,liblinear,0.1,0.4026051772315571,0.12342259805379685,0.0035179401266163795
12,l2,liblinear,0.1,0.22276218689349772,0.10651733422956701,0.001651171980233028
13,l1,liblinear,0.01,0.0,0.0,0.0010251505621548358
14,l2,liblinear,0.01,0.0,0.0,0.0014592285813956425
