,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l1,liblinear,10.0,0.7223141148293583,0.04105152388252849,0.09747822531338396
1,l1,liblinear,100.0,0.7205745754386007,0.03159981702510142,0.10828332243294551
2,l1,liblinear,10.0,0.7196189311216944,0.03663284202654378,0.09519679792996111
3,l1,liblinear,100.0,0.7194122101049227,0.04367875071106095,0.11080455780029297
4,l2,liblinear,10.0,0.7193171669538194,0.029146251639405735,0.004510838409949993
5,l1,liblinear,100.0,0.7170055950350644,0.0550409949217447,0.11252221567877407
6,l1,liblinear,1.0,0.716369739734697,0.04504208727147357,0.038005598660173084
7,l1,liblinear,1.0,0.7154799121399904,0.0347287027951585,0.038847306679035055
8,l2,liblinear,1.0,0.7151793854087147,0.05398586366728897,0.0036841178762501686
9,l2,liblinear,1.0,0.7146004654898622,0.04886921724046437,0.0035699975901636585
10,l2,liblinear,1.0,0.7139579465903284,0.040045869723816636,0.0036946822857034617
11,l2,liblinear,0.1,0.6978369143100346,0.05173896715465862,0.0029890372835356615
12,l2,liblinear,0.01,0.6928193985333096,0.051103427115196234,0.0021976520275247507
13,l1,liblinear,0.01,0.6669496261869121,0.0010397074030727637,0.0011461109950624663
14,l1,liblinear,0.01,0.6669470142524616,0.0010300629700165406,0.0011620439332107018
