,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l2,liblinear,100.0,0.5381429161176228,0.11400630362673647,0.0037632564018512593
1,l2,liblinear,100.0,0.5365922119700481,0.09793844453800947,0.003872937169568292
2,l1,liblinear,100.0,0.534743430591366,0.08983841082632232,0.055698904497870086
3,l1,liblinear,10.0,0.5334122819879114,0.10729360760610694,0.03523370315288675
4,l1,liblinear,1.0,0.5295964625079749,0.12305115529206852,0.016778543077666182
5,l2,liblinear,10.0,0.5266117860537213,0.087950265681799,0.0026972951560184874
6,l1,liblinear,1.0,0.5201165458856054,0.10005854012015786,0.01600503921508789
7,l1,liblinear,1.0,0.5141116528142593,0.10982492691692439,0.015956681350181842
8,l2,liblinear,1.0,0.4977133803517662,0.1314805732213193,0.002225366132012729
9,l2,liblinear,1.0,0.49582646945481723,0.11490555722974465,0.002551456977581156
10,l2,liblinear,1.0,0.49490542045922675,0.09745655897782812,0.0022121215688771217
11,l1,liblinear,0.1,0.42146524191735973,0.10561066160325068,0.0036181417004815465
12,l1,liblinear,0.1,0.4187664298182784,0.10509038264295172,0.0034870361459666283
13,l1,liblinear,0.1,0.41837592093987785,0.12633009636714432,0.0035547799077527277
14,l2,liblinear,0.1,0.24950751552541295,0.11671057006034535,0.0015988678767763335
