,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l1,liblinear,10.0,0.5441212038678309,0.12123044605958275,0.03199001838420999
1,l1,liblinear,100.0,0.541235652619787,0.10532242963597213,0.0506712321577401
2,l2,liblinear,100.0,0.5401862950645056,0.09647867676104195,0.0036863294141045934
3,l2,liblinear,100.0,0.5368312681834551,0.09290854912317567,0.00372239639019144
4,l2,liblinear,100.0,0.534940943871149,0.12170247741941985,0.004141560916242929
5,l2,liblinear,10.0,0.534411514788675,0.09691882888293168,0.00278494275849441
6,l1,liblinear,1.0,0.5292994920803182,0.1158133195686573,0.016650660284634293
7,l1,liblinear,1.0,0.5271926518604848,0.10665183194242309,0.016518987458327722
8,l1,liblinear,1.0,0.5246091658672031,0.12563719341779991,0.016161573344263536
9,l1,liblinear,1.0,0.523929119319888,0.10616269421689177,0.016510001544294686
10,l2,liblinear,1.0,0.4932390701277557,0.12941422502372285,0.0021166637026030443
11,l1,liblinear,0.1,0.41204652085851357,0.13404470040425748,0.0035973335134572
12,l2,liblinear,0.1,0.2610461856971104,0.10393158799058243,0.0018020169488314924
13,l2,liblinear,0.1,0.25916355663524865,0.10934566368333139,0.0016183113229685817
14,l2,liblinear,0.1,0.2569790839101812,0.1053323853787941,0.0016339318505648908
