,penalty,solver,C,f1_mean_score,f1_std_score,mean_time
0,l2,liblinear,100.0,0.5370410146505276,0.09932140765290964,0.003930593359059301
1,l1,liblinear,10.0,0.5321576870413505,0.0936502329200575,0.033358697233528925
2,l1,liblinear,10.0,0.5309621839217965,0.10676873722918503,0.03297992410330937
3,l1,liblinear,10.0,0.5306836198012367,0.08710525708070199,0.03519515333504512
4,l1,liblinear,100.0,0.5286627812372495,0.11786087272151095,0.05342811551587335
5,l1,liblinear,10.0,0.5271245658156553,0.12939706203478896,0.03223336154016955
6,l1,liblinear,10.0,0.5256515347654644,0.1621135478062479,0.036798378516887796
7,l2,liblinear,10.0,0.5238948879092206,0.11538036416267454,0.0029516302306076578
8,l1,liblinear,100.0,0.5226394526330836,0.12613761648210847,0.05548452508860621
9,l1,liblinear,1.0,0.513126336150763,0.11073113125858555,0.015771076597016435
10,l2,liblinear,1.0,0.48775567675452425,0.10346248324190999,0.002128231114354627
11,l2,liblinear,1.0,0.47890960930644705,0.13514550053930524,0.0021718534929998988
12,l2,liblinear,0.1,0.2303496918417103,0.11987478629588688,0.001646115862090012
13,l2,liblinear,0.01,0.0,0.0,0.0014565813130345837
14,l1,liblinear,0.01,0.0,0.0,0.0010233089841645338
