,n_neighbors,metric,f1_mean_score,f1_std_score,mean_time
0,7,manhattan,0.538846927918896,0.13641654922573465,0.0012962160439326845
1,7,manhattan,0.5234149311249883,0.11654307576895417,0.0009536907590668777
2,7,minkowski,0.5192550387204764,0.09585895588296987,0.001006167510460163
3,7,minkowski,0.5157354276737172,0.11588998557904998,0.001063116665544181
4,11,euclidean,0.49173598714612615,0.11264100492565188,0.0010999317826895878
5,15,manhattan,0.489865461712871,0.1182741240096704,0.000992405003514783
6,15,manhattan,0.4891074169229508,0.1235588901512281,0.0010078364405138739
7,15,euclidean,0.48838826269639746,0.11655456836340625,0.0010772409110233702
8,15,manhattan,0.48604539570234967,0.10207075143059727,0.0011090821233288996
9,15,euclidean,0.4854457775095451,0.08928234371960214,0.0009737590263629781
10,11,euclidean,0.4812233605894161,0.1147871856282256,0.00100622505977236
11,21,minkowski,0.4691683216441341,0.12225636669715079,0.0010000590620369747
12,21,minkowski,0.4666509748609676,0.11156555404364324,0.001630330907887426
13,21,euclidean,0.4641197342517186,0.10905639059601907,0.0010973913916226092
14,21,minkowski,0.4603584072880511,0.12425671279937812,0.0009600047407479122
