,n_neighbors,metric,weights,f1_mean_score,f1_std_score,mean_time
0,21,euclidean,distance,0.8008248864997175,0.028033566831520203,0.000651240348815918
1,21,euclidean,distance,0.7987511170151428,0.05242194844456535,0.0006451436451503209
2,15,manhattan,distance,0.7936910876312879,0.044408819626688245,0.0006846530096871513
3,5,minkowski,distance,0.7825898106716342,0.03637777058510341,0.0007215397698538644
4,15,minkowski,uniform,0.7359475629357278,0.04879282685815189,0.0006842613220214844
5,21,euclidean,uniform,0.7350444594930546,0.052883961607360586,0.0006695815495082311
6,21,minkowski,uniform,0.7334814445160217,0.06936196331496138,0.0007010868617466518
7,7,minkowski,uniform,0.7223190294047056,0.04139654249878954,0.0006437301635742188
8,5,minkowski,uniform,0.7132164607350917,0.051312954235136855,0.0006488731929234096
9,5,euclidean,uniform,0.712990425935768,0.045112064596352905,0.0006777899605887276
