,n_neighbors,metric,f1_mean_score,f1_std_score,mean_time
0,21,minkowski,0.7360819934252971,0.06299291920771037,0.0007011479344861261
1,7,euclidean,0.7355288140055883,0.058213850593306006,0.0006973332372205011
2,11,minkowski,0.7335363739762493,0.0538497763355131,0.0007429616204623518
3,7,euclidean,0.7328470758705216,0.05315650376740217,0.0007426492099104257
4,15,euclidean,0.7326444334687168,0.05843011778881302,0.0007162916249242322
5,7,euclidean,0.731278930522197,0.05542264408739945,0.0007397388589793239
6,15,manhattan,0.7301415161942099,0.04689664649826383,0.0007594947157234981
7,15,minkowski,0.7293342320580158,0.05578567856505272,0.0007261325573099071
8,7,minkowski,0.7281104312699003,0.0638738172241828,0.0007216848176101159
9,7,manhattan,0.7264798085546016,0.07320406657904602,0.0007124604849979795
10,5,euclidean,0.7247556587165307,0.055110329460375626,0.0007687765976478314
11,5,manhattan,0.7246970828501383,0.061613289128773494,0.0008337415497878503
12,5,minkowski,0.7245262350423424,0.0623714111410949,0.0007439152947787581
13,7,manhattan,0.7224448495570921,0.0643987465258274,0.0007750988006591797
14,5,minkowski,0.7198901806610439,0.0691657297787006,0.0007424765619738348
