,n_neighbors,metric,f1_mean_score,f1_std_score,mean_time
0,7,manhattan,0.5501540515647934,0.09532538669107805,0.0009961950367894665
1,7,manhattan,0.5500461558392196,0.09777877831930878,0.0010887343308021282
2,5,manhattan,0.5459722767739235,0.0890173529156041,0.000981725495437096
3,5,manhattan,0.5401516614429362,0.14168289823725966,0.0010021555012670056
4,7,minkowski,0.539189013073462,0.09816807999100455,0.001081655765401906
5,11,manhattan,0.5201301284008214,0.10606848279523373,0.0009771708784432247
6,11,euclidean,0.5038710479504123,0.1044062196593778,0.0010018430907150794
7,15,minkowski,0.5009648550178869,0.12885012348694228,0.0010158029095879916
8,11,minkowski,0.5008324933699784,0.10873770018819026,0.0010000590620369747
9,15,manhattan,0.5003208652796985,0.11847417323971327,0.0009713008485991379
10,15,euclidean,0.49597841292298567,0.10914175146522816,0.0009740467729239628
11,15,minkowski,0.4946205176076259,0.08898073938534883,0.0009895933085474476
12,15,minkowski,0.4895689856519302,0.10553502233075703,0.0012161320653455011
13,21,minkowski,0.4784362499639593,0.10162028583974397,0.0010081981790476832
14,21,minkowski,0.47602958300504483,0.11425327256486618,0.001004934310913086
