,n_neighbors,metric,f1_mean_score,f1_std_score,mean_time
0,15,manhattan,0.7451213803807251,0.06689058197729995,0.0010089956480881263
1,21,minkowski,0.7404931283913024,0.07325349949009523,0.0007332193440404432
2,15,manhattan,0.7402786291906798,0.07428759976349211,0.0008381235188451307
3,21,euclidean,0.7398419191205592,0.058807550849535296,0.0013750832656334187
4,21,euclidean,0.7388458559763942,0.07529867867261308,0.0009251298575565733
5,21,minkowski,0.7374349530308585,0.06596626159449925,0.0011979053760397024
6,21,manhattan,0.7336836766216287,0.061655387161568445,0.0008214999889505321
7,11,minkowski,0.7334997741481355,0.07431329384962898,0.0013009433088631466
8,11,manhattan,0.7320737621624576,0.07224450268067444,0.0012424732076710668
9,7,euclidean,0.7303615181986453,0.04583652404821663,0.0008400226461476293
10,11,minkowski,0.7299253249882512,0.05513570655895471,0.0010486471241918103
11,5,euclidean,0.7290544823497443,0.06552598768272552,0.0007598975609088766
12,7,euclidean,0.7276572737745903,0.05360639428344829,0.0009083336797253839
13,7,euclidean,0.7220475340801269,0.06055334415577841,0.0007384070034684806
14,5,manhattan,0.7214187938148325,0.06084337976854446,0.0007169575526796538
