,n_neighbors,metric,f1_mean_score,f1_std_score,mean_time
0,15,manhattan,0.7377339240559997,0.07527724989526118,0.000729412868105132
1,15,manhattan,0.7354963751117767,0.07082484334419792,0.0007050859517064588
2,21,minkowski,0.734996566564887,0.05983070439916562,0.0007155599265262999
3,15,manhattan,0.7339520514637968,0.06259216904987903,0.0006950312647326239
4,21,manhattan,0.733862555846083,0.06189008380974075,0.0006915371993492389
5,15,minkowski,0.7313736256382872,0.058491369815310154,0.0007140307590879243
6,21,euclidean,0.7311537393152164,0.059297622030907195,0.0006920469218286974
7,11,euclidean,0.7299084711284383,0.058224193687858534,0.0007712923247238685
8,11,euclidean,0.7262690527601646,0.0704377147384174,0.0007297663853086274
9,7,euclidean,0.725977444723179,0.05541848418698926,0.000700506670721646
10,7,euclidean,0.7246776720360301,0.06683374976065656,0.0006711483001708984
11,15,minkowski,0.7245779496846603,0.053836753346989806,0.0007598317902663659
12,7,minkowski,0.7217784020714253,0.07706525409013032,0.0006741573070657665
13,5,euclidean,0.7190501860735646,0.05177934366028876,0.0006954752165695716
14,5,manhattan,0.7119658856389607,0.06569080410003186,0.0007085553530989023
