,n_neighbors,metric,f1_mean_score,f1_std_score,mean_time
0,15,manhattan,0.7489941588223242,0.04889272781917604,0.0013303592287260912
1,11,minkowski,0.7479727600500768,0.02962514069417258,0.001348314614131533
2,11,euclidean,0.7476494717545342,0.04811791103931991,0.0013363443571945716
3,15,manhattan,0.7456520222602738,0.04178907519990424,0.0012970710622853246
4,11,minkowski,0.7452269742728596,0.04694899595000774,0.0013219899144665949
5,5,euclidean,0.7444095643992242,0.044399213620237805,0.00142648302275559
6,21,manhattan,0.7434490462834561,0.04502221000960806,0.0013219323651543979
7,11,euclidean,0.7432495347459479,0.04032613902390505,0.0013003102664289803
8,7,minkowski,0.743180279014252,0.043864574848147264,0.0014000267818056304
9,21,minkowski,0.7395370015636512,0.0414432895389947,0.001344976754024111
10,5,manhattan,0.7392866494035517,0.05757346203869784,0.0013780840511979729
11,15,euclidean,0.7389686767295999,0.043013297304251914,0.0013126669258906923
12,7,manhattan,0.7363033611006277,0.052491703361797336,0.0013242754442938443
13,21,euclidean,0.7356180524034202,0.04136752895611737,0.0013556480407714844
14,21,minkowski,0.7329517530948768,0.048249767906357176,0.001316177433934705
