,n_neighbors,metric,f1_mean_score,f1_std_score,mean_time
0,21,manhattan,0.73629298753712,0.06415061402908014,0.0011833865067054485
1,21,minkowski,0.7359732704183972,0.06939774198804732,0.0008045229418524381
2,21,euclidean,0.7331195651111015,0.07334576221673778,0.0008344403628645273
3,7,euclidean,0.7316670809041801,0.05565849408121824,0.0018380674822577115
4,11,minkowski,0.7300862406888378,0.058023319626235595,0.0012726454899228852
5,5,euclidean,0.7289735693374633,0.052970173351586276,0.0007774829864501953
6,5,euclidean,0.7284622290085478,0.05705053489565009,0.0007323643256878031
7,11,euclidean,0.728052445347008,0.07252075221263496,0.000946850612245757
8,5,minkowski,0.7257050120695334,0.0633033960088962,0.0014482777694175984
9,11,minkowski,0.7230316400271782,0.08163247655617599,0.003908190233954068
10,5,minkowski,0.7213163093797553,0.06062454033958858,0.000712485148988921
11,11,euclidean,0.7212718579688883,0.052845288689458106,0.0007398128509521484
12,7,manhattan,0.7186586532285941,0.06891905373883783,0.0010706474041116648
13,5,manhattan,0.7184429069271968,0.08888126625636267,0.0007671652169063173
14,5,manhattan,0.7128366271696469,0.07142526641921017,0.000921167176345299
