,n_neighbors,metric,f1_mean_score,f1_std_score,mean_time
0,5,minkowski,0.7449290217782133,0.04408352878342509,0.0017509131596006196
1,11,manhattan,0.7441423014186124,0.05030953608626581,0.0013564537311422415
2,7,euclidean,0.7432965942113902,0.04319583957132258,0.0013299399408800848
3,7,manhattan,0.742581598223903,0.04962724919529322,0.0013276297470618938
4,5,minkowski,0.7423389347206755,0.04661670602728727,0.0013498766668911639
5,5,euclidean,0.7404643959862799,0.0348790223158562,0.00135040283203125
6,7,manhattan,0.7403125426481353,0.043217724814675354,0.0013562235338934537
7,21,euclidean,0.7369879428153597,0.03778270260619605,0.0012903049074370287
8,15,euclidean,0.7361637688325198,0.04729969226227247,0.0013181998811919115
9,5,manhattan,0.7354618927645249,0.053287965792990735,0.0013811999353869208
10,21,euclidean,0.7351707210006784,0.04333586680170742,0.0013080794235755657
11,21,euclidean,0.7349665415008663,0.05438108300199136,0.0013174517401333514
12,15,minkowski,0.7345673821552186,0.039198382757540964,0.001321661061254041
13,15,minkowski,0.7331029859967313,0.038297384085923834,0.0013308771725358635
14,5,manhattan,0.7308264662499084,0.040656438497740956,0.0013905558092840787
