,n_estimators,criterion,f1_mean_score,f1_std_score,mean_time
0,300,entropy,0.8297255796042597,0.05920100223548758,0.8235813091541159
1,200,entropy,0.8244509964366635,0.05951155502973128,0.534845730354046
2,100,gini,0.8236819191560062,0.05635798486766875,0.241851099606218
3,100,entropy,0.820847589597172,0.059748276800287166,0.2665772109196104
4,100,log_loss,0.8207040032952228,0.06157318088724006,0.25762882725945835
5,200,entropy,0.8199193437749269,0.04339742075953168,0.5371876502859181
6,200,entropy,0.8198864883532939,0.05743807882597475,0.5340919823482119
7,200,log_loss,0.8197890981455388,0.05889421441544391,0.5472603255304797
8,50,entropy,0.8197054317961596,0.05359259100207527,0.13594575585990115
9,50,entropy,0.8175060947995496,0.05868790178388732,0.13788911391948833
10,50,entropy,0.816559487802607,0.04706593356927668,0.13146434159114442
11,100,log_loss,0.8149945569800621,0.04971382508903918,0.27529651543189737
12,50,log_loss,0.8148058587072746,0.056924062897710605,0.14813377117288523
13,50,gini,0.8137322652699525,0.052756118873288474,0.11456647412530307
14,200,log_loss,0.8136110203219362,0.07108552966855419,0.538153048219352
