,n_estimators,criterion,f1_mean_score,f1_std_score,mean_time
0,200,log_loss,0.5975279678184463,0.10072019263521027,0.6622493760339145
1,300,entropy,0.5943364695444193,0.09123557479055135,0.9466532920968944
2,300,entropy,0.5939698468239916,0.07558358140530358,0.9728853044838741
3,300,log_loss,0.5931573599442304,0.09619668914539022,0.9500326781437315
4,100,entropy,0.590860236407527,0.0982692772646511,0.31629358488937903
5,200,log_loss,0.5907871753030585,0.11446027039787203,0.6316460329910805
6,50,entropy,0.5902517020819608,0.09855828276866407,0.15834266563941693
7,50,log_loss,0.58968007028632,0.10112034928843282,0.15881233379758639
8,300,gini,0.586758157909827,0.11241285324017627,0.8425147780056658
9,300,log_loss,0.585871128999495,0.07218736988298659,0.9518090363206535
10,100,log_loss,0.5850223657612477,0.08755258305693087,0.3191397847800419
11,300,entropy,0.5849138842820116,0.10995533205053881,0.9523861572660249
12,100,gini,0.5827612541049111,0.12340643966766965,0.2803179806676404
13,100,gini,0.5814033491055209,0.133010477083126,0.27978377506650726
14,100,entropy,0.5786717477343339,0.1173160254257066,0.3173985316835601
