,n_estimators,criterion,f1_mean_score,f1_std_score,mean_time
0,300,log_loss,0.6004655856931677,0.09827514440082621,0.958200166965353
1,200,gini,0.6001038722751618,0.11018864347399517,0.5643472753722092
2,200,gini,0.5972601778748556,0.10172588934806039,0.5647312443831871
3,300,gini,0.5962164725895073,0.10562470760203241,0.8457239331870243
4,300,gini,0.5961792031660678,0.11012854181255083,0.8501603027869915
5,300,entropy,0.5947039924328029,0.103919192083468,0.9608976183266476
6,100,gini,0.5941100895922496,0.11171056152833404,0.28124046325683594
7,100,log_loss,0.5910988262225263,0.11962180696852351,0.3174087507971402
8,100,log_loss,0.5875303725113727,0.11596740862776451,0.3210548285780282
9,50,entropy,0.5843793646094696,0.1083342145913616,0.16149326850628032
10,100,log_loss,0.583149936033206,0.10263544630514333,0.31733354206742914
11,50,log_loss,0.5802254972152986,0.13948540563571565,0.16016320524544553
12,50,entropy,0.5801440170322347,0.10917695093279399,0.15878329605891786
13,100,entropy,0.5798645649642381,0.1147397058050177,0.3177577544902933
14,50,entropy,0.5693420725308185,0.12507153831581677,0.15842492827053728
