,n_estimators,criterion,f1_mean_score,f1_std_score,mean_time
0,200,gini,0.6030979502817964,0.11369128861832241,0.5485920166147167
1,100,log_loss,0.6011085085230066,0.08779571162700546,0.30792024217802905
2,50,gini,0.5985773416900819,0.10021060181046205,0.13855551851206813
3,200,log_loss,0.5961559769240651,0.11147253660813683,0.6189038260229702
4,300,entropy,0.5956010204341772,0.09647926325368128,0.9271948419768234
5,200,gini,0.5946603197147222,0.1054227506738101,0.5479644167012182
6,100,gini,0.5892269722958879,0.09489179014330973,0.2743077689203723
7,100,log_loss,0.5884457806712027,0.09719514792387933,0.31412987873472015
8,100,entropy,0.5849128072452506,0.11229441114901698,0.31051495157439135
9,200,entropy,0.5845967230828727,0.09994107355697691,0.624434783540923
10,300,entropy,0.5841502991377792,0.11086448903523523,0.9274916977717959
11,300,log_loss,0.5840607556615782,0.10388960963943984,0.927950513773951
12,300,log_loss,0.5832200797068725,0.13580104094471965,0.9313841934861808
13,50,gini,0.5811979731784976,0.09549799367235762,0.13934448669696675
14,50,log_loss,0.5665355105251172,0.08987949821078002,0.15519824521294956
