,n_estimators,criterion,f1_mean_score,f1_std_score,mean_time
0,100,log_loss,0.6054340479655121,0.08962264738385414,0.3975398951563342
1,300,gini,0.5980622970232216,0.07897171298981812,0.9642594271692736
2,300,entropy,0.5977564175567286,0.10302298479571674,0.9714178545721646
3,200,gini,0.5947128295601778,0.10527906536395257,0.588740636562479
4,50,gini,0.5912338499332412,0.09471111649376887,0.14368589171047869
5,200,log_loss,0.5909104364255159,0.0934745213625821,0.6721530453912143
6,100,entropy,0.5896777785955458,0.12385672637053737,0.3585300198916731
7,300,gini,0.585068063115103,0.12081234137980217,0.8745043524380388
8,50,entropy,0.5849898145537212,0.12315897652278152,0.16851834593148068
9,50,log_loss,0.5830725128851019,0.09780305119861689,0.16727982718369055
10,300,log_loss,0.582998106944544,0.08845775731939798,0.9949174420586948
11,50,gini,0.5822746483513377,0.12293556484132159,0.14670167298152528
12,50,gini,0.5800369219932167,0.13058488540142993,0.19732848529157967
13,100,log_loss,0.5776854430304885,0.10120219972488655,0.3729869579446727
14,50,gini,0.567837937945094,0.09541786900563805,0.15161840669040022
