,n_estimators,criterion,f1_mean_score,f1_std_score,mean_time
0,300,gini,0.8268162136298949,0.046308429770030635,0.6471715713369435
1,300,entropy,0.8261322656968303,0.06023552347054756,0.7315931566830339
2,300,log_loss,0.8259076700487673,0.07187597085899411,0.7493159935392183
3,100,entropy,0.8256337581282832,0.053752769502248346,0.2444742301414753
4,300,gini,0.8252964634358142,0.06960630526978835,0.6863916249110781
5,100,log_loss,0.8249556018159787,0.050769620127343554,0.24530608078529095
6,200,log_loss,0.8243625691097398,0.04493258304378692,0.4919703088957688
7,300,log_loss,0.8233896676703623,0.06143783493434206,0.7237300626162825
8,200,entropy,0.8230155145251549,0.06193281395698792,0.5540397496059023
9,200,gini,0.8229952218119047,0.05244032743732205,0.418024572832831
10,100,entropy,0.8225090222185385,0.05152398600296456,0.23938299869668894
11,50,log_loss,0.8208187557017926,0.05033896049979898,0.12314049950961409
12,100,gini,0.8186107158389216,0.06121745589095211,0.22290970539224558
13,100,entropy,0.8160102504826047,0.08329404282340022,0.2498541207149111
14,50,entropy,0.8098298150332287,0.06942741268541411,0.11839606022012644
