,n_estimators,criterion,f1_mean_score,f1_std_score,mean_time
0,100,log_loss,0.8091774029762234,0.03845665279857286,0.45144274316985034
1,200,log_loss,0.8075318210108582,0.03876716098336348,0.9443674251951021
2,200,log_loss,0.8065348354569066,0.045553875873017104,0.9050395488739014
3,200,gini,0.8058222587138569,0.03705766630632036,0.7806317066324169
4,300,log_loss,0.8057403768071104,0.03916118136057069,1.3614681506979054
5,50,entropy,0.8052347197553702,0.027057435035019436,0.2279792407463337
6,200,gini,0.8052159522939704,0.04485088925554871,0.7856023722681506
7,200,gini,0.8052097082367123,0.03478213763303624,0.778249189771455
8,100,gini,0.8051185233873972,0.03616432983813408,0.39337507609663336
9,100,entropy,0.8034230092054672,0.04206496664768926,0.45432633367078057
10,50,entropy,0.8021230385736982,0.03032021597539091,0.2271895244203765
11,200,gini,0.800230589724539,0.04215186710520111,0.7767753847714128
12,50,log_loss,0.8000069859312469,0.02966697674120174,0.22519462684105182
13,100,gini,0.7974465492729842,0.03705181405120182,0.39028629763373013
14,50,gini,0.7949040189357608,0.03942204702451737,0.1975604172410636
