,n_estimators,criterion,f1_mean_score,f1_std_score,mean_time
0,100,log_loss,0.8232547837023086,0.057301116582638895,0.5262987695891281
1,50,log_loss,0.8195663847158121,0.05988632577597332,9.625193373910312
2,50,gini,0.8184771600338973,0.06852366847171809,0.11348713677504967
3,200,entropy,0.8182451518968724,0.057601853048154274,0.47894186809145173
4,300,log_loss,0.8178958821982977,0.05615230985307353,0.7125436355327738
5,200,gini,0.81712442068456,0.056337356497223934,0.4200413227081299
6,200,log_loss,0.8170127896453497,0.07105627577754126,0.5579205052605991
7,50,entropy,0.8167134421063187,0.04850660935062934,0.12826209232724947
8,50,gini,0.8159921454667313,0.05385042876156384,0.11417361785625589
9,200,log_loss,0.8158461555056803,0.06120754702616585,0.4819122676191659
10,300,log_loss,0.8156868044768638,0.0445829232948609,0.7745849675145643
11,50,gini,0.8151178388994932,0.04627270153487702,0.10600446010458059
12,100,log_loss,0.8142082212037335,0.04407809342182202,0.24302361751424856
13,300,gini,0.8138366921738697,0.05250849097724555,0.6914058224908237
14,50,entropy,0.8078035940447225,0.04539591648952609,0.19795685801012763
